Date,CumReturns,SPY_CumReturns
2024-02-05,0.0,0.0
2024-02-06,0.008572261871792497,0.0029033057127196837
2024-02-07,-0.004031937337006353,0.01126792903886864
2024-02-08,0.008858928456677573,0.011714586690184214
2024-02-09,0.018871283650376824,0.017561718868011056
2024-02-12,0.04293674560054184,0.017115061216695482
2024-02-13,-0.006647825712338129,0.0031062812246782645
2024-02-14,0.019294987244790285,0.0122221493867547
2024-02-15,0.045851109049221295,0.019206217048232554
2024-02-16,0.026549050701614618,0.02428184401393807
2024-02-20,0.022906419647967136,0.018642767687199413
2024-02-21,0.020559919104081503,0.019565488084457794
2024-02-22,0.0204299738790239,0.04066590393449676
2024-02-23,0.011358519043977333,0.041383617073605494
2024-02-26,0.04956530541377968,0.03756951836268585
2024-02-27,0.05395678005411697,0.039497062186107934
2024-02-28,0.0576434137057551,0.03812321317956924
2024-02-29,0.08330410417468714,0.041855208861584
2024-03-01,0.09357574348140107,0.05163642054369344
2024-03-04,0.08542877388800574,0.05050863030975705
2024-03-05,0.06762030340694158,0.040009705488539105
2024-03-06,0.08976483984344341,0.04527969365637419
2024-03-07,0.10728495853187114,0.05565558909129109
2024-03-08,0.11753342375518194,0.04931932538267003
2024-03-11,0.11040792704742697,0.04841706816410962
2024-03-12,0.10557831583175803,0.05969528339611507
2024-03-13,0.10800747276588085,0.058034198945465354
2024-03-14,0.09330760920320658,0.05594269937834606
2024-03-15,0.09296290983020095,0.04869198259958396
2024-03-18,0.08704021408994755,0.05492452189861319
2024-03-19,0.09028732895830882,0.060786889027606206
2024-03-20,0.12137127348172538,0.07059842888193613
2024-03-21,0.12941747060468667,0.0741364386915977
2024-03-22,0.1165392666053715,0.07210008373213173
2024-03-25,0.11523406517879331,0.06913807864220067
2024-03-26,0.11045391169569596,0.06716336673360379
2024-03-27,0.13544907815752083,0.07613161458653206
2024-03-28,0.1526982340938443,0.07592597035573023
2024-04-01,0.14785548467765408,0.07405408056253426
2024-04-02,0.13998779310084863,0.06722513533040142
2024-04-03,0.15131740445512665,0.06839748321027161
2024-04-04,0.13698162906638123,0.055356525438411186
2024-04-05,0.1477175883374613,0.06638171778307145
2024-04-08,0.15489805045451743,0.06697818648913945
2024-04-09,0.1650329803396937,0.06821242851173581
2024-04-10,0.1424028779144928,0.05751629204554409
2024-04-11,0.14730230159924296,0.06549724671713819
2024-04-12,0.1311575406734029,0.050790106155848
2024-04-15,0.12057342416044459,0.037625673963356476
2024-04-16,0.114329226517764,0.035733257410858865
2024-04-17,0.11224478557896678,0.02960354022723055
2024-04-18,0.11437056947598045,0.02748488991166531
2024-04-19,0.13030443056676955,0.018516642058737043
2024-04-22,0.14187388365954168,0.027896303919197507
2024-04-23,0.153346863799523,0.040093969689656506
2024-04-24,0.1578621816917274,0.03960032309898942
2024-04-25,0.1410330823928727,0.03565096205476004
2024-04-26,0.15812153171113885,0.04546262745501828
2024-04-29,0.16739016679190222,0.04916510243095007
2024-04-30,0.16110785666260274,0.032545018557860406
2024-05-01,0.1754611569947062,0.02919218899266296
2024-05-02,0.20940082360004464,0.03881867414845708
2024-05-03,0.22442428368956446,0.051695166754047506
2024-05-06,0.21334167334693288,0.06255583115947361
2024-05-07,0.22192041887462843,0.06372830458527212
2024-05-08,0.2020333776148402,0.06383112670067281
2024-05-09,0.20091535418089213,0.06996078111133697
2024-05-10,0.1863492637220454,0.07133902431386585
2024-05-13,0.1877094720100576,0.07148289994787005
2024-05-14,0.2528818443267611,0.07639902741413218
2024-05-15,0.2748709923879682,0.08972811309178641
2024-05-16,0.2677693611967702,0.08748598835559007
2024-05-17,0.2678192640974213,0.08904928625665498
2024-05-20,0.2848436378909516,0.0903039922655886
2024-05-21,0.2879195193277857,0.0929779949956544
2024-05-22,0.2783056094833667,0.08983093520718732
2024-05-23,0.2724604344830459,0.08187057006785903
2024-05-24,0.30573897843907694,0.08902869672438896
2024-05-28,0.31588082386627914,0.0897897561426555
2024-05-29,0.29819683527092655,0.08215844688179574
2024-05-30,0.3257207263792834,0.07497973069299979
2024-05-31,0.3449426819601149,0.08477080656099223
2024-06-03,0.3382230449498558,0.08565527762692549
2024-06-04,0.31720897032139983,0.08686893011725583
2024-06-05,0.3393775803638166,0.09978647624144954
2024-06-06,0.3361127700019706,0.09976588670918374
2024-06-07,0.3217746151141294,0.098428948117115
2024-06-10,0.3196525936436905,0.10182283120091573
2024-06-11,0.3189223204226188,0.10447636994464427
2024-06-12,0.3538029032261101,0.11354743991297345
2024-06-13,0.3409897985193908,0.11578956464916978
2024-06-14,0.3189999766209508,0.11646839148430121
2024-06-17,0.32166203168235374,0.12535428120816627
2024-06-18,0.3260859489682155,0.1282134641826964
2024-06-20,0.30841627614155853,0.12514863697736445
2024-06-21,0.3216925021162076,0.12364024828780673
2024-06-24,0.33199391259280553,0.11998767046573144
2024-06-25,0.3344348873069172,0.12430060916784624
2024-06-26,0.3379590558974699,0.12570382880632014
2024-06-27,0.34784937373042113,0.12747847782401123
2024-06-28,0.35535108699232354,0.12304172932882396
